SessionID,Category,Grammar Element,File Type,Total Count,Not Converted Count (Self)
d81c36b6-5537-44d3-baa7-6870b0e12600,Functions & Expressions,SCOPE_IDENTITY,SQL,1,1
d81c36b6-5537-44d3-baa7-6870b0e12600,Statement,DECLARE VARIABLE,SQL,2,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Statement,DECLARE,SQL,2,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Data Type,DATETIME,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Query,LEFT JOIN,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Query,SELECT,SQL,5,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Query,HAVING,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Functions & Expressions,SUM,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Query,ORDER BY,SQL,2,0
d81c36b6-5537-44d3-baa7-6870b0e12600,<TSqlsBatch-UNKNOWN>,GOTO / LABEL,SQL,5,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Data Type,INT,SQL,6,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Statement - Control of Flow,BEGIN...END,SQL,5,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Set Operator,EXCEPT,SQL,12,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Functions & Expressions,NULL,SQL,2,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Functions & Expressions,MAX,SQL,3,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Query,DESC,SQL,2,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Query,VALUES,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Operator,-,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Operator,=,SQL,11,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Operator,OR,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Query,GROUP BY,SQL,3,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Statement,SET @local_variable,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,DML,INTO,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Functions & Expressions,GETDATE,SQL,2,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Functions & Expressions,COUNT,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Statement,ASSIGNMENT EXPR,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Functions & Expressions,DATEADD,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Operator,<,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Query,TOP,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Query,FROM,SQL,4,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Query,ON,SQL,8,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Query,INNER JOIN,SQL,7,0
d81c36b6-5537-44d3-baa7-6870b0e12600,Statement,SET,SQL,5,5
d81c36b6-5537-44d3-baa7-6870b0e12600,Query,WHERE,SQL,2,0
d81c36b6-5537-44d3-baa7-6870b0e12600,DML,INSERT,SQL,1,0
d81c36b6-5537-44d3-baa7-6870b0e12600,DDL,CREATE PROCEDURE,SQL,5,0
